PheWAS_Category	Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
example	Albumin	Body mass index (BMI)	828/969	2.696736784288175	0.0020103108457714	-0.0612762928346648	0.0197707834006053
example	Mouth/teeth dental problems	Body mass index (BMI)	959/969	2.491527061178069	0.0032245783874319	0.1069185862531098	0.036200502975308
example	Hearing difficulty/problems	Body mass index (BMI)	959/969	2.418552667571764	0.0038145853140098	-0.0099826320518128	0.0034414052284252
example	Pulse rate, automated reading	Body mass index (BMI)	909/969	2.2859658226481	0.0051764756727574	-0.221238406936527	0.0789243714074605
example	Triglycerides	Body mass index (BMI)	909/969	2.2491352423327795	0.0056346216245242	0.0196348039294567	0.007074395430325
example	Diabetes diagnosed by doctor	Body mass index (BMI)	967/969	2.173899090066211	0.0067004027767466	-0.0044588666436942	0.0016406743241404
example	History of psychiatric care on admission (polymorphic)	Body mass index (BMI)	690/969	2.100376370907543	0.0079364014739111	0.0292892564879659	0.0109976579823513
example	Mean corpuscular volume	Body mass index (BMI)	935/969	2.0043012364027177	0.0099014491990677	-0.0813066259445233	0.0314537831885026
example	Mean reticulocyte volume	Overall acceleration average	215/969	1.8448065229438324	0.0142953066884945	0.1503965094581202	0.0607990663020083
example	Mean corpuscular haemoglobin	Overall acceleration average	215/969	1.8090840760735685	0.0155208650885339	-0.0335409967332022	0.0137280437917175
example	Impedance of whole body	Overall acceleration average	215/969	1.799044614304231	0.0158838356838082	-1.667806369085551	0.6852174129959824
example	Oestradiol	Body mass index (BMI)	149/969	1.7293082584858266	0.018650554206251	17.809933813962697	7.477191471281484
example	Trunk fat mass	Overall acceleration average	215/969	1.6533326024711297	0.022216078306352	0.0870724677601045	0.0377598827045133
example	Total bilirubin	Body mass index (BMI)	908/969	1.6460792530818382	0.0225902349026407	-0.0640683753603609	0.0280449438605779
example	Immature reticulocyte fraction	Overall acceleration average	215/969	1.6174071740852385	0.0241319727321422	-0.0010352087423834	0.0004551896897846
example	Haemoglobin concentration	Body mass index (BMI)	935/969	1.595668279049047	0.0253706574129339	0.0189592788754151	0.0084655482851545
example	History of psychiatric care on admission (polymorphic)	Overall acceleration average	215/969	1.579410231068423	0.0263384230420798	-0.0269935250758066	0.0120130708169463
example	Time since last prostate specific antigen (PSA) test	Overall acceleration average	138/969	1.49730530389813	0.0318195985504581	0.2254517022789255	0.0999566182494414
example	Leg fat mass (right)	Body mass index (BMI)	956/969	1.4966946594470645	0.0318643703095061	0.0283420506601192	0.0131854149495731
example	Leg fat-free mass (left)	Overall acceleration average	215/969	1.4615804799698509	0.0345477302562955	-0.0309173812269049	0.0145196402263369
example	Whole body fat-free mass	Overall acceleration average	215/969	1.4240475472609884	0.0376662559101404	0.1744677733486778	0.0833499718430812
example	Behaviour of cancer tumour	Body mass index (BMI)	171/969	1.4216008980525714	0.0378790520505223	0.0234691826597292	0.0112020577639268
example	Interpolated Year when non-cancer illness first diagnosed	Overall acceleration average	215/969	1.408103226721423	0.0390748008519969	-9.814034527141088	4.7089001171899785
example	Intended management of patient (polymorphic)	Overall acceleration average	215/969	1.3991114598938672	0.0398922507401094	0.0261027713470722	0.012585329542423
example	Vitamin D	Body mass index (BMI)	865/969	1.3796943819365957	0.0417162842533057	0.3041752717616483	0.1491342251158059
example	Ever had prostate specific antigen (PSA) test	Body mass index (BMI)	439/969	1.377973647041134	0.041881897825326	-0.01111866321411	0.0054470346149111
example	Lipoprotein A	Body mass index (BMI)	734/969	1.3646491715975424	0.0431867804058105	0.7377663501931446	0.3642002315372255
example	Vascular/heart problems diagnosed by doctor	Overall acceleration average	215/969	1.3025383603603096	0.0498266443151469	0.0701014859739868	0.035510512334843
example	Taking other prescription medications	Overall acceleration average	215/969	1.2978181200356318	0.0503711516029798	-0.007479601133185	0.0037979532729187
example	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	Overall acceleration average	215/969	1.2753335295013262	0.0530476892080801	-0.083007399045158	0.0424328992872128
example	Hearing difficulty/problems with background noise	Overall acceleration average	215/969	1.254153774157696	0.0556988496593388	0.0073244275672049	0.0038043967616776
example	Lymphocyte count	Body mass index (BMI)	933/969	1.2379714250527314	0.0578134085207756	0.0088273941483019	0.0046468966326747
example	Had other major operations	Body mass index (BMI)	528/969	1.1675914648226366	0.0679842851256296	0.0085361346915788	0.0046666512742342
example	Cystatin C	Overall acceleration average	215/969	1.1633692169840857	0.0686484574581769	0.0023889550248625	0.001304001195849
example	Trunk fat-free mass	Overall acceleration average	215/969	1.1569792886704116	0.0696659736741897	-0.0812363495315576	0.0445256007129783
example	Shortness of breath walking on level ground	Overall acceleration average	215/969	1.1488643543945352	0.0709799428939655	0.007742836078443	0.0042157374831174
example	Tinnitus	Overall acceleration average	215/969	1.1429407699794076	0.0719547104702322	0.1256825544847029	0.0686533829158283
example	Reported occurrences of cancer	Overall acceleration average	178/969	1.1426133382209176	0.0720089804232241	0.0248376943214886	0.0132646514102834
example	Chest pain or discomfort walking normally	Overall acceleration average	155/969	1.14063597692616	0.0723375878958525	0.01448034374832	0.0076711698116977
example	Hip circumference	Overall acceleration average	215/969	1.1236474558532534	0.0752233281307404	-0.1191851761780105	0.0666227439789536
example	Testosterone	Overall acceleration average	215/969	1.0834319984901597	0.0825216687183968	-0.0870074535472642	0.0497817344751651
example	Leg pain on walking	Body mass index (BMI)	309/969	1.054906929428315	0.0881237704579051	-0.0083447836172863	0.0048762595002921
example	Arm fat mass (right)	Overall acceleration average	215/969	1.0470750327948546	0.0897273759663963	0.0088132152544819	0.0051668247987756
example	Cholesterol	Body mass index (BMI)	910/969	1.0341716328126205	0.092433280620177	-0.0136485024316296	0.0081019025773844
example	Triglycerides	Overall acceleration average	215/969	1.0266298111127137	0.0940524664130518	-0.0114480137723384	0.0067999421941708
example	Creatinine	Body mass index (BMI)	909/969	1.0229754103375528	0.0948472164075553	-0.1985473265625108	0.1187312061625437
