Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
Albumin	Body mass index (BMI)	828/969	2.696736784288175	0.0020103108457714238	-0.06127629283466484	0.01977078340060537
Mouth/teeth dental problems	Body mass index (BMI)	959/969	2.491527061178069	0.0032245783874319672	0.10691858625310982	0.03620050297530802
Hearing difficulty/problems	Body mass index (BMI)	959/969	2.4185526675717637	0.0038145853140098456	-0.00998263205181285	0.0034414052284252915
Pulse rate, automated reading	Body mass index (BMI)	909/969	2.2859658226481	0.005176475672757495	-0.22123840693652705	0.0789243714074605
Triglycerides	Body mass index (BMI)	909/969	2.2491352423327795	0.005634621624524264	0.019634803929456764	0.007074395430325046
Diabetes diagnosed by doctor	Body mass index (BMI)	967/969	2.173899090066211	0.006700402776746603	-0.004458866643694291	0.0016406743241404776
History of psychiatric care on admission (polymorphic)	Body mass index (BMI)	690/969	2.100376370907543	0.00793640147391118	0.02928925648796591	0.010997657982351364
Mean corpuscular volume	Body mass index (BMI)	935/969	2.0043012364027177	0.009901449199067729	-0.08130662594452333	0.03145378318850263
Mean reticulocyte volume	Overall acceleration average	215/969	1.8448065229438324	0.014295306688494528	0.1503965094581202	0.06079906630200834
Mean corpuscular haemoglobin	Overall acceleration average	215/969	1.8090840760735685	0.015520865088533937	-0.0335409967332022	0.013728043791717581
Impedance of whole body	Overall acceleration average	215/969	1.799044614304231	0.015883835683808252	-1.6678063690855507	0.6852174129959824
Oestradiol	Body mass index (BMI)	149/969	1.7293082584858266	0.01865055420625103	17.809933813962697	7.477191471281484
Trunk fat mass	Overall acceleration average	215/969	1.6533326024711295	0.022216078306352024	0.08707246776010454	0.03775988270451334
Total bilirubin	Body mass index (BMI)	908/969	1.6460792530818382	0.022590234902640793	-0.06406837536036096	0.028044943860577987
Immature reticulocyte fraction	Overall acceleration average	215/969	1.6174071740852383	0.024131972732142286	-0.0010352087423834697	0.000455189689784678
Haemoglobin concentration	Body mass index (BMI)	935/969	1.595668279049047	0.0253706574129339	0.018959278875415143	0.008465548285154586
History of psychiatric care on admission (polymorphic)	Overall acceleration average	215/969	1.579410231068423	0.026338423042079836	-0.02699352507580663	0.012013070816946365
Time since last prostate specific antigen (PSA) test	Overall acceleration average	138/969	1.4973053038981299	0.03181959855045816	0.22545170227892558	0.0999566182494414
Leg fat mass (right)	Body mass index (BMI)	956/969	1.4966946594470643	0.03186437030950618	0.02834205066011929	0.01318541494957311
Leg fat-free mass (left)	Overall acceleration average	215/969	1.4615804799698509	0.034547730256295504	-0.03091738122690494	0.014519640226336993
Whole body fat-free mass	Overall acceleration average	215/969	1.4240475472609884	0.03766625591014046	0.1744677733486778	0.0833499718430812
Behaviour of cancer tumour	Body mass index (BMI)	171/969	1.4216008980525714	0.03787905205052237	0.023469182659729297	0.011202057763926885
Interpolated Year when non-cancer illness first diagnosed	Overall acceleration average	215/969	1.408103226721423	0.03907480085199696	-9.814034527141088	4.7089001171899785
Intended management of patient (polymorphic)	Overall acceleration average	215/969	1.3991114598938672	0.039892250740109415	0.026102771347072236	0.012585329542423019
Vitamin D	Body mass index (BMI)	865/969	1.3796943819365957	0.04171628425330571	0.3041752717616483	0.1491342251158059
Ever had prostate specific antigen (PSA) test	Body mass index (BMI)	439/969	1.3779736470411341	0.041881897825326087	-0.01111866321411009	0.005447034614911114
Lipoprotein A	Body mass index (BMI)	734/969	1.3646491715975424	0.04318678040581054	0.7377663501931446	0.3642002315372255
Vascular/heart problems diagnosed by doctor	Overall acceleration average	215/969	1.3025383603603096	0.049826644315146947	0.07010148597398687	0.03551051233484301
Taking other prescription medications	Overall acceleration average	215/969	1.2978181200356318	0.05037115160297982	-0.007479601133185079	0.003797953272918795
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	Overall acceleration average	215/969	1.2753335295013262	0.053047689208080104	-0.08300739904515801	0.042432899287212854
Hearing difficulty/problems with background noise	Overall acceleration average	215/969	1.254153774157696	0.05569884965933883	0.007324427567204905	0.0038043967616776557
