MR_Method	Outcome	P_value	Effect_Size	Standard_Error	Number_SNPs
Egger	BMI \(w\)	0.0009552929210985273	0.7868462165605311	0.16345917769948345	11
Inverse Variance Weighted	BMI \(w\)	0.0	0.8757757672950739	0.07242983187342007	11
Simple Median	BMI \(w\)	8.881784197001252e-16	0.8986455146985434	0.11165928485128254	11
Weighted Median	BMI \(w\)	0.0	0.7720414807670213	0.0705742527497849	11
Penalized Weighted Median	BMI \(w\)	0.0	0.770060742826323	0.07104250256110348	11
Simple Mode	BMI \(w\)	6.741310015826412e-06	0.8282059638908205	0.09718557144384789	11
Weighted Mode	BMI \(w\)	6.016219559588316e-07	0.7726996487212654	0.06955853324882748	11
Penalized Mode	BMI \(w\)	1.1205695452163645e-06	0.7726996487212654	0.07438681758386985	11
Simple Mode (NOME)	BMI \(w\)	3.5714578937438682e-06	0.8282059638908205	0.09053049019323356	11
Weighted Mode (NOME)	BMI \(w\)	9.251141878808743e-08	0.7766643855190908	0.05731960064286706	11
MR PRESSO Raw	BMI \(w\)	2.7201877531062755e-07	0.8757757672950739	0.07242983187342007	11
