PheWAS_Category	Ethnicity	Description	Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error	Category
example	White	Sources of admission to hospital (polymorphic)	f.41233.0.0	f.90012.0.0	201/916	1.7043019215848627	0.0197559572816739	-0.1763603020792162	0.0623410668469136	Summary Administration
example	White	Treatment speciality of consultant (recoded)	f.41246.0.4	f.21001.0.0	167/916	1.6463949492202263	0.022573819638829	68.66519097094924	23.574485968371103	Summary Administration
example	White	Methods of admission to hospital (recoded)	f.41249.0.1	f.21001.0.0	536/916	1.59690472520368	0.0252985293047393	21.79970128903382	9.621979025593234	Summary Administration
example	White	Intended management of patient (recoded)	f.41244.0.2	f.21001.0.0	194/916	1.5788514644649327	0.0263723320678267	17.83781863967471	7.243063467659232	Summary Administration
example	White	History of psychiatric care on admission (polymorphic)	f.41218.0.0	f.21001.0.0	659/916	1.2951727536713011	0.0506789077601406	0.0554977547902625	0.0281801002934552	Summary Psychiatric
example	White	Treatment speciality of consultant (recoded)	f.41246.0.2	f.21001.0.0	362/916	1.0231032919355811	0.0948192919726159	54.91867844466383	32.48603951021752	Summary Administration
example	White	Methods of discharge from hospital (polymorphic)	f.41213.0.0	f.21001.0.0	755/916	0.9088097115095272	0.1233645243204706	0.0465533538192576	0.0300788265230007	Summary Administration
example	White	Inpatient record format	f.41253.0.1	f.21001.0.0	439/916	0.8942509799196968	0.1275701364583248	-0.923350483599902	0.6004401932077543	Summary Administration
example	White	Treatment speciality of consultant (recoded)	f.41246.0.0	f.21001.0.0	753/916	0.8876244785921295	0.1295315377707812	-15.945472954683256	10.473748992833489	Summary Administration
example	White	Methods of discharge from hospital (polymorphic)	f.41213.0.1	f.21001.0.0	166/916	0.7312038496815618	0.1856932641159208	-0.2125624830317853	0.1541143362560554	Summary Administration
example	White	Inpatient record format	f.41253.0.2	f.21001.0.0	154/916	0.7159388299740752	0.1923362613898666	4.975773270477163	1.5507586378065434	Summary Administration
example	White	Main speciality of consultant (polymorphic)	f.41207.0.2	f.21001.0.0	326/916	0.6392158929917341	0.2295007488766803	7.125531555693733	5.8435294484677724	Summary Administration
example	White	Inpatient record format	f.41253.0.0	f.90012.0.0	201/916	0.6348854851197205	0.2318005781751783	0.5212229890467138	0.4094303826713978	Summary Administration
example	White	Main speciality of consultant (polymorphic)	f.41207.0.1	f.21001.0.0	505/916	0.6229978492573737	0.2382331267272163	-2.9503359353790968	2.489367841873171	Summary Administration
example	White	Main speciality of consultant (recoded)	f.41245.0.0	f.21001.0.0	685/916	0.6037564642380231	0.2490253365818305	-4.759176118708536	4.113338103374063	Summary Administration
example	White	Main speciality of consultant (recoded)	f.41245.0.2	f.21001.0.0	324/916	0.5952847021653032	0.2539307514316841	10.036049318006343	8.7096828482039	Summary Administration
example	White	Patient classification on admission (recoded)	f.41247.0.1	f.21001.0.0	432/916	0.5831782232370838	0.2611089610777262	-0.0121195958386659	0.0107137793715645	Summary Administration
example	White	Treatment speciality of consultant (recoded)	f.41246.0.3	f.21001.0.0	259/916	0.5540987877597435	0.2791908701284289	-48.195824982704885	43.91770030725655	Summary Administration
example	White	Intended management of patient (polymorphic)	f.41206.0.1	f.21001.0.0	436/916	0.542668573667989	0.2866364565269673	0.0787758461394311	0.0735113038746892	Summary Administration
example	White	Methods of discharge from hospital (polymorphic)	f.41213.0.0	f.90012.0.0	201/916	0.5390365201950581	0.2890436812837729	-0.0779492122389656	0.0686484433907665	Summary Administration
example	White	Behaviour of cancer tumour	f.40012.0.0	f.21001.0.0	161/916	0.5130936288532704	0.3068360414161974	0.0394352812249254	0.0346644886552561	Cancer register
example	White	Cancer record format	f.40019.0.0	f.21001.0.0	169/916	0.5029365751885811	0.3140967370477817	0.2564212383193204	0.2461808978901172	Cancer register
example	White	Hospital episode type	f.41231.0.0	f.21001.0.0	660/916	0.4651124621335959	0.3426790370745685	0.0011901730177258	0.0012505379547317	Summary Administration
example	White	Treatment speciality of consultant (recoded)	f.41246.0.1	f.21001.0.0	550/916	0.4411760431175816	0.3620961914311913	-17.149941311260125	18.74335754099018	Summary Administration
example	White	Methods of admission to hospital (polymorphic)	f.41212.0.0	f.90012.0.0	201/916	0.4323276266179306	0.3695492909862255	-0.0347183297668452	0.0362063920021293	Summary Administration
example	White	Methods of admission to hospital (recoded)	f.41249.0.0	f.21001.0.0	750/916	0.4043234891056169	0.3941635955378079	3.311145613075542	3.876891737677735	Summary Administration
example	White	Intended management of patient (polymorphic)	f.41206.0.2	f.21001.0.0	195/916	0.3621881064300615	0.4343220650485542	-0.0378332035534542	0.0467716110072096	Summary Administration
example	White	Destinations on discharge from hospital (polymorphic)	f.41211.0.0	f.21001.0.0	747/916	0.3530536695038987	0.4435538267836165	0.0691925959767976	0.0901042278263869	Summary Administration
example	White	Methods of admission to hospital (polymorphic)	f.41212.0.1	f.21001.0.0	527/916	0.3312952678041678	0.4663422161163413	-0.1493836202542277	0.2044131314609545	Summary Administration
example	White	Intended management of patient (recoded)	f.41244.0.1	f.21001.0.0	426/916	0.33108873949314	0.466564037434929	5.316578998346233	7.266838204164952	Summary Administration
example	White	Patient classification on admission (polymorphic)	f.41209.0.0	f.90012.0.0	201/916	0.3284838714252109	0.4693708652145476	-0.0275843422390918	0.0360662876206299	Summary Administration
example	White	Intended management of patient (recoded)	f.41244.0.0	f.21001.0.0	690/916	0.3126792073133845	0.4867666242959798	1.9274177259061476	2.7651590809525373	Summary Administration
example	White	Sources of admission to hospital (recoded)	f.41251.0.0	f.21001.0.0	755/916	0.2732473419921356	0.5330312338862807	-0.0011924974865085	0.0019093293422887	Summary Administration
example	White	Main speciality of consultant (polymorphic)	f.41207.0.3	f.21001.0.0	220/916	0.2507154223724775	0.56141573116252	-3.826094239495192	6.519605625928612	Summary Administration
example	White	Patient classification on admission (recoded)	f.41247.0.0	f.21001.0.0	744/916	0.232734166493618	0.5851481462259469	3.816034103535663	6.978144957841129	Summary Administration
example	White	Intended management of patient (recoded)	f.41244.0.0	f.90012.0.0	201/916	0.2311597803784645	0.5872732503007703	-3.3078596199514467	5.458215179687136	Summary Administration
example	White	Sources of admission to hospital (polymorphic)	f.41233.0.0	f.21001.0.0	749/916	0.221087603909984	0.6010524836777492	0.0546445024191005	0.1043274089012937	Summary Administration
example	White	Destinations on discharge from hospital (polymorphic)	f.41211.0.0	f.90012.0.0	201/916	0.2049666782039789	0.6237826941662932	0.0372035721348994	0.0701151197477197	Summary Administration
example	White	Spells in hospital	f.41235.0.0	f.21001.0.0	606/916	0.1547275669538841	0.7002811448005801	0.0335533573327075	0.086991296020934	Summary Administration
example	White	Patient classification on admission (polymorphic)	f.41209.0.0	f.21001.0.0	744/916	0.1429102430442217	0.7195976840689766	0.0034250721376684	0.0095263680122586	Summary Administration
example	White	Destinations on discharge from hospital (polymorphic)	f.41211.0.1	f.21001.0.0	182/916	0.1401310563674773	0.7242173811485875	-1.6782471421305505	4.624273457724068	Summary Administration
example	White	Destinations on discharge from hospital (recoded)	f.41248.0.0	f.90012.0.0	201/916	0.1297492473265959	0.7417383821273358	3.5332847758695613e-14	1.0304033709459677e-13	Summary Administration
example	White	Methods of discharge from hospital (recoded)	f.41250.0.0	f.21001.0.0	750/916	0.1274076805366911	0.7457483814636514	0.0009205604448835	0.0028349362168479	Summary Administration
example	White	Methods of admission to hospital (recoded)	f.41249.0.0	f.90012.0.0	201/916	0.112010474950952	0.7726619486774204	-1.679684215982144	5.620276956015635	Summary Administration
example	White	Inpatient record format	f.41253.0.0	f.21001.0.0	756/916	0.1028602229069743	0.789114052045069	-0.0596294700537863	0.2226200405426426	Summary Administration
example	White	Administrative and legal statuses	f.41232.0.0	f.21001.0.0	278/916	0.0973475555329926	0.7991944227528016	-0.0107382907920889	0.0419008116170558	Summary Administration
example	White	Spells in hospital	f.41235.0.0	f.90012.0.0	201/916	0.0905532274954966	0.8117957484714212	0.061309037936451	0.2359446099660041	Summary Administration
example	White	Methods of admission to hospital (recoded)	f.41249.0.3	f.21001.0.0	160/916	0.0905194643243518	0.8118588620162055	-14.81541895282657	60.440714872255015	Summary Administration
example	White	Main speciality of consultant (polymorphic)	f.41207.0.4	f.21001.0.0	131/916	0.0769026456118566	0.8377170493996758	4.707247188375932	18.06433581550096	Summary Administration
example	White	Treatment speciality of consultant (recoded)	f.41246.0.0	f.90012.0.0	201/916	0.0723970210984852	0.8464532540481279	-1.7571417542577554	8.744256382263625	Summary Administration
example	White	Carer support indicators	f.41214.0.0	f.21001.0.0	654/916	0.0642758710447842	0.8624305435756463	0.1515123067831714	0.872967168579426	Summary Psychiatric
example	White	Reported occurrences of cancer	f.40009.0.0	f.21001.0.0	171/916	0.0639052668489763	0.8631668107948316	0.0136587142253326	0.0774196920257387	Cancer register
example	White	Destinations on discharge from hospital (recoded)	f.41248.0.0	f.21001.0.0	745/916	0.056433706020229	0.8781451235498217	0.0003549204098575	0.0023118170424747	Summary Administration
example	White	Carer support indicators	f.41214.0.1	f.21001.0.0	179/916	0.0551615148454925	0.8807212703776794	-0.3932420362676603	2.581542379742417	Summary Psychiatric
example	White	Methods of admission to hospital (recoded)	f.41249.0.2	f.21001.0.0	307/916	0.0510249818053556	0.889149970050906	3.3580277818114004	23.94686319561524	Summary Administration
example	White	Sources of admission to hospital (recoded)	f.41251.0.0	f.90012.0.0	201/916	0.0486057391174544	0.8941168118444074	2.8213542613286794e-14	2.0607578043831573e-13	Summary Administration
example	White	Main speciality of consultant (recoded)	f.41245.0.0	f.90012.0.0	201/916	0.0463974490209968	0.8986747737094504	-2.418668715665884	17.47292928980445	Summary Administration
example	White	Patient classification on admission (recoded)	f.41247.0.0	f.90012.0.0	201/916	0.0411689250686866	0.9095594176351136	1.5830271245451883	13.251093341997905	Summary Administration
example	White	Intended management of patient (polymorphic)	f.41206.0.0	f.21001.0.0	688/916	0.0330287721070769	0.9267684227290792	0.0021137151823241	0.0229647590529561	Summary Administration
example	White	Main speciality of consultant (recoded)	f.41245.0.1	f.21001.0.0	500/916	0.0315695916832868	0.9298874969240374	0.3898705649439637	4.421419578147567	Summary Administration
example	White	Methods of discharge from hospital (recoded)	f.41250.0.0	f.90012.0.0	201/916	0.0257367058901609	0.9424607969006252	6.6786853825107065e-15	9.044405047225108e-14	Summary Administration
example	White	Methods of admission to hospital (polymorphic)	f.41212.0.0	f.21001.0.0	756/916	0.0223479085918292	0.9498435794231814	0.0031475059412332	0.0499675643606864	Summary Administration
example	White	Main speciality of consultant (recoded)	f.41245.0.3	f.21001.0.0	217/916	0.0178234482105242	0.9597907316426498	-0.4801562440466717	9.392215671452409	Summary Administration
example	White	Methods of discharge from hospital (recoded)	f.41250.0.1	f.21001.0.0	169/916	0.0176979970180876	0.9600680188036828	-7.681941567992274	149.63767231661166	Summary Administration
example	White	Destinations on discharge from hospital (recoded)	f.41248.0.1	f.21001.0.0	176/916	0.0168510336472586	0.9619421753779932	13.895140750268997	283.22152171764714	Summary Administration
example	White	Hospital episode type	f.41231.0.0	f.90012.0.0	201/916	0.0063132405474269	0.9855683751954016	1.3010426069826053e-17	6.760892793247351e-16	Summary Administration
