PheWAS_Category	Ethnicity	Description	Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error	Category	Gene
example	White	Sources of admission to hospital (recoded)	f.41251.0.0	rs6426192_2	755/969	inf	0.0	399.96184979456336	0.0234156842590848	Summary Administration	DDX11L1, DDX11L17
example	White	Destinations on discharge from hospital (recoded)	f.41248.0.0	rs6426192_2	745/969	inf	0.0	400.05034623213857	0.0293517700192235	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of discharge from hospital (recoded)	f.41250.0.0	rs6426192_2	750/969	inf	0.0	400.04798941286623	0.0328228417303637	Summary Administration	DDX11L1, DDX11L17
example	White	Patient classification on admission (recoded)	f.41247.0.1	rs6426192_2	432/969	245.4463264855776	3.57827335392749e-246	800.0407236558435	0.1425230445802615	Summary Administration	DDX11L1, DDX11L17
example	White	Hospital episode type	f.41231.0.0	rs6426192_2	660/969	71.33515729929992	4.622135796196421e-72	0.4211324969118587	0.0130781482293448	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (recoded)	f.41245.0.1	rs6426192_2	500/969	25.09888006203093	7.963792540226253e-26	730.5056670450592	53.87094130225657	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (recoded)	f.41249.0.0	rs6426192_2	750/969	19.709258949037476	1.9531745239190813e-20	513.204585732665	49.12508071197861	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (recoded)	f.41245.0.0	rs6426192_2	685/969	17.82692045315179	1.489633899114881e-18	462.8363459782771	46.31171298722057	Summary Administration	DDX11L1, DDX11L17
example	White	Sources of admission to hospital (polymorphic)	f.41233.0.0	rs6426192_2	749/969	13.21941543702174	6.033711809756374e-14	9.746562664000844	1.2004704686933385	Summary Administration	DDX11L1, DDX11L17
example	White	History of psychiatric care on admission (polymorphic)	f.41218.0.0	rs6426192_2	659/969	11.949389447716923	1.1235969516630178e-12	2.8700372312984817	0.370694454678993	Summary Psychiatric	DDX11L1, DDX11L17
example	White	Administrative and legal statuses	f.41232.0.0	rs6426192_2	278/969	10.010834579503348	9.753610769060038e-11	3.816403375962565	0.4324210339952786	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (recoded)	f.41245.0.2	rs6426192_2	324/969	8.294823003303838	5.0719737442511665e-09	538.8296176728645	78.79237812050327	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (polymorphic)	f.41212.0.0	rs6426192_2	756/969	8.042742511562722	9.062697590498482e-09	3.967360291227779	0.6582396082113982	Summary Administration	DDX11L1, DDX11L17
example	White	Treatment speciality of consultant (recoded)	f.41246.0.0	rs6426192_2	753/969	7.156450733005803	6.975081187236752e-08	730.6750862363781	130.31964546378717	Summary Administration	DDX11L1, DDX11L17
example	White	Patient classification on admission (recoded)	f.41247.0.0	rs6426192_2	744/969	6.52069853153751	3.015098248851268e-07	480.7798427561323	90.38176255964464	Summary Administration	DDX11L1, DDX11L17
example	White	Destinations on discharge from hospital (polymorphic)	f.41211.0.0	rs6426192_2	747/969	5.572208364111664	2.677883232198797e-06	5.345139754291155	1.1022161440075144	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (polymorphic)	f.41206.0.2	rs6426192_2	195/969	5.028416029575493	9.366643055388987e-06	4.256548685356072	0.6308933735866905	Summary Administration	DDX11L1, DDX11L17
example	White	Methods of admission to hospital (recoded)	f.41249.0.1	rs6426192_2	536/969	4.855666110063707	1.3942282876443496e-05	527.3844953232659	116.38374410431872	Summary Administration	DDX11L1, DDX11L17
example	White	Intended management of patient (recoded)	f.41244.0.0	rs6426192_2	690/969	4.840653982702767	1.4432647920860212e-05	136.63606655899207	30.567049213620702	Summary Administration	DDX11L1, DDX11L17
example	White	Treatment speciality of consultant (recoded)	f.41246.0.1	rs6426192_2	550/969	4.404839460773887	3.93695580190636e-05	1109.2219825583609	259.53597287519113	Summary Administration	DDX11L1, DDX11L17
example	White	Patient classification on admission (polymorphic)	f.41209.0.0	rs6426192_2	744/969	3.691633879412196	0.0002034071058672	0.4455259597698111	0.1176038902488948	Summary Administration	DDX11L1, DDX11L17
example	White	Main speciality of consultant (polymorphic)	f.41207.0.2	rs6426192_2	326/969	3.608125808016659	0.0002465325069385	232.00882484825576	58.03008629043848	Summary Administration	DDX11L1, DDX11L17
example	White	Spells in hospital	f.41235.0.0	rs6426192_2	606/969	3.303013435811028	0.000497721686676	3.751310893092109	1.053028441482462	Summary Administration	DDX11L1, DDX11L17
