PheWAS_Category	Ethnicity	Description	Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error	Category	Gene
example	White	Sitting height	f.20015.0.0	rs6426192_2	910/969	114.17750887429594	6.6449409461530725e-115	33.7559973908556	0.774174631175596	Body size measures	DDX11L1, DDX11L17
example	White	Standing height	f.50.0.0	rs6426192_2	915/969	113.93467129977944	1.1623280008475067e-114	69.58951381039356	1.6151289479587	Body size measures	DDX11L1, DDX11L17
example	White	Hip circumference	f.49.0.0	rs6426192_2	915/969	62.661103222716	2.182211184237922e-63	39.60512337858894	1.6986836159872958	Body size measures	DDX11L1, DDX11L17
example	White	Diastolic blood pressure, automated reading	f.4079.0.1	rs6426192_2	848/969	43.57359763129784	2.669330622482956e-44	33.49136845692551	1.8881932794860767	Blood pressure	DDX11L1, DDX11L17
example	White	Systolic blood pressure, automated reading	f.4080.0.0	rs6426192_2	860/969	40.2023733923682	6.275186065861701e-41	56.57929256256959	3.4091786885149094	Blood pressure	DDX11L1, DDX11L17
example	White	Impedance of leg (right)	f.23107.0.0	rs6426192_2	904/969	40.01259381707885	9.714180814201294e-41	99.7330712737011	6.09439671605312	Body composition by impedance	DDX11L1, DDX11L17
example	White	Impedance of arm (left)	f.23110.0.0	rs6426192_2	905/969	38.89896242467498	1.2619367131155767e-39	153.1988054598863	9.556018218023764	Body composition by impedance	DDX11L1, DDX11L17
example	White	Impedance of whole body	f.23106.0.0	rs6426192_2	905/969	37.24685790021259	5.664245910646911e-38	235.88648645819748	15.16833039182947	Body composition by impedance	DDX11L1, DDX11L17
example	White	Diastolic blood pressure, automated reading	f.4079.0.0	rs6426192_2	860/969	36.8257667078659	1.4935965168181404e-37	31.71488189851353	2.038128282324067	Blood pressure	DDX11L1, DDX11L17
example	White	Waist circumference	f.48.0.0	rs6426192_2	915/969	35.48493824668295	3.27387243503767e-36	34.73855596059136	2.319475782764444	Body size measures	DDX11L1, DDX11L17
example	White	Pulse rate, automated reading	f.102.0.0	rs6426192_2	860/969	34.144417176211086	7.171051208133653e-35	30.00215154854188	2.0211174813591057	Blood pressure	DDX11L1, DDX11L17
example	White	Impedance of leg (left)	f.23108.0.0	rs6426192_2	903/969	33.28707466681533	5.1632759114386725e-34	99.4978036494402	6.925808581821212	Body composition by impedance	DDX11L1, DDX11L17
example	White	Body mass index (BMI)	f.21001.0.0	rs6426192_2	914/969	32.585160183656264	2.599200706256613e-33	11.282864827556851	0.7987674203656006	Body size measures	DDX11L1, DDX11L17
example	White	Systolic blood pressure, automated reading	f.4080.0.1	rs6426192_2	846/969	32.36039625375482	4.36117733349474e-33	57.00411162062001	3.992729904156496	Blood pressure	DDX11L1, DDX11L17
example	White	Whole body water mass	f.23102.0.0	rs6426192_2	903/969	26.71323992749007	1.9353524763769337e-27	18.68416520608152	1.5089893132170815	Body composition by impedance	DDX11L1, DDX11L17
example	White	Pulse rate, automated reading	f.102.0.1	rs6426192_2	846/969	26.471453357557344	3.377121163655599e-27	26.161717472087	2.098783590354169	Blood pressure	DDX11L1, DDX11L17
example	White	Impedance of arm (right)	f.23109.0.0	rs6426192_2	903/969	25.03709670020696	9.181281428924884e-26	115.56536398749512	9.737685005753177	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg predicted mass (left)	f.23118.0.0	rs6426192_2	903/969	21.86902450831204	1.3519962645474651e-22	3.5558057288657485	0.3266500757181225	Body composition by impedance	DDX11L1, DDX11L17
example	White	Trunk fat-free mass	f.23129.0.0	rs6426192_2	903/969	21.849852035876584	1.4130188781333467e-22	12.104082446165268	1.1130704268673284	Body composition by impedance	DDX11L1, DDX11L17
example	White	Weight	f.21002.0.0	rs6426192_2	914/969	21.76698770598432	1.7100637229184854e-22	28.72944328406197	2.65314031472763	Body size measures	DDX11L1, DDX11L17
example	White	Trunk predicted mass	f.23130.0.0	rs6426192_2	903/969	21.263639718980176	5.449545475187832e-22	10.434242793307297	0.9761727361754714	Body composition by impedance	DDX11L1, DDX11L17
example	White	Leg fat-free mass (left)	f.23117.0.0	rs6426192_2	904/969	20.12090831499901	7.569926887846713e-21	3.3937554196266264	0.3288631137929643	Body composition by impedance	DDX11L1, DDX11L17
example	White	Trunk fat percentage	f.23127.0.0	rs6426192_2	902/969	19.90389746397097	1.2476780536796742e-20	13.852143447192129	1.3525596320896718	Body composition by impedance	DDX11L1, DDX11L17
