Data_Field	Independent_Var	Samples	-log(p)	p-val	beta	std_error
Methods of discharge from hospital (recoded)	rs6426192_2	794/969	inf	0.0	399.3930042746515	0.596335395931262
Mean corpuscular haemoglobin concentration	rs6426192_2	935/969	9.236406905551236	5.802205340426823e-10	19.244721064558412	3.0711176798614006
Sitting height	rs6426192_2	961/969	7.273027720500001	5.333008544422835e-08	82.94256288067807	15.117120106498382
Calcium	rs6426192_2	828/969	3.1800966002859816	0.000660546506056679	1.1308043992375152	0.3306977446712899
Total protein	rs6426192_2	829/969	2.9134159045632444	0.001220630156900364	46.195121646483855	14.23122042019747
Platelet distribution width	rs6426192_2	937/969	2.8731077023588876	0.0013393444970440386	5.456265056969221	1.6956321125040466
Mean corpuscular haemoglobin	rs6426192_2	935/969	2.4796691087941243	0.003313835081271743	16.900388649386198	5.7383702156078815
Mean corpuscular volume	rs6426192_2	935/969	2.4722632532526023	0.0033708291951971584	43.55570410897223	14.815717288301299
Headaches for 3+ months	rs6426192_2	236/969	1.9655640238364822	0.010825201178890364	8.832844535761492	3.43654635560713
Haematocrit percentage	rs6426192_2	935/969	1.8752959801268625	0.013326129210188978	28.304353956815042	11.413000188811496
Hospital episode type	rs6426192_2	693/969	1.8393746996989628	0.014475224242152562	0.5036017990228685	0.2053958217262042
Standing height	rs6426192_2	968/969	1.793665833128495	0.01608178186011356	71.42246235106305	29.616215254421654
Mouth/teeth dental problems	rs6426192_2	959/969	1.6105532556064226	0.024515838085256814	38.35008902663002	17.023511115790807
Behaviour of cancer tumour	rs6426192_2	171/969	1.5873988577494758	0.02585836981497023	10.938165131047224	4.859233450502341
Forced expiratory volume in 1-second (FEV1)	rs6426192_2	881/969	1.5084540457400384	0.031013155325134503	5.809276622832046	2.6887164278598448
Total bilirubin	rs6426192_2	908/969	1.4662423738732684	0.03417886416613114	28.050353016861933	13.222629693112351
Red blood cell (erythrocyte) distribution width	rs6426192_2	935/969	1.4586831358286882	0.03477898186848838	7.335238444750914	3.469443222847063
Trunk predicted mass	rs6426192_2	955/969	1.4167679411163494	0.038302935476161	38.31640000467931	18.46850543181473
Immature reticulocyte fraction	rs6426192_2	915/969	1.3387115086822023	0.045844632038919454	0.4032881217255419	0.2016688409029943
Methods of admission to hospital (polymorphic)	rs6426192_2	796/969	1.3279895936305015	0.046990536813189196	27.418999660305953	13.780338221274988
Histology of cancer tumour	rs6426192_2	165/969	1.3211304301810671	0.047738588045249476	5797.890488226608	2903.681610716723
Fractured bone site(s)	rs6426192_2	100/969	1.307809956644104	0.049225489486926156	-47.01842245871886	23.573759800149887
Haemoglobin concentration	rs6426192_2	935/969	1.2973892695477525	0.05042091590533012	7.844067060593105	4.003927392383033
Leg predicted mass (right)	rs6426192_2	956/969	1.2730664896753965	0.053325324915968454	-11.783222688723663	6.089993795688731
Impedance of arm (right)	rs6426192_2	956/969	1.250362064667168	0.056187270519617104	331.0626808781355	173.1428087701875
Falls in the last year	rs6426192_2	967/969	1.2483091561102198	0.056453496287033576	3.9282124781329917	2.0566779981793704
Heel bone mineral density (BMD) T-score, automated (right)	rs6426192_2	290/969	1.1307506198372805	0.07400300924505274	12.73628057878194	7.100610847344189
Destinations on discharge from hospital (polymorphic)	rs6426192_2	788/969	1.1291309114019608	0.07427951999414059	24.041101337528513	13.450100172207492
Mean reticulocyte volume	rs6426192_2	915/969	1.092530525623755	0.080810812693656	44.49155403165943	25.451599898878026
Whole body fat-free mass	rs6426192_2	956/969	1.0741469774959302	0.08430493977973365	63.191026425992376	36.565277182694395
Wheeze or whistling in the chest in last year	rs6426192_2	967/969	1.0203680560179798	0.09541835914696598	-2.385420415815424	1.4290507631838847
Patient classification on admission (polymorphic)	rs6426192_2	789/969	1.0074262414991642	0.09830458146299736	2.9947740304246357	1.8092850997586452
Pulse rate	rs6426192_2	303/969	0.9892200194100985	0.10251324488258416	119.00768052997087	72.65005911496323
Triglycerides	rs6426192_2	909/969	0.9854355381819647	0.10341045805156578	5.397096252556163	3.310481222688546
Mean sphered cell volume	rs6426192_2	915/969	0.984346483018298	0.10367009988692942	27.267672288379767	16.73827108734692
Albumin	rs6426192_2	828/969	0.978853651066045	0.10498961639745866	15.241925356537354	9.390958612461228
Method of recording time when operation occurred	rs6426192_2	759/969	0.9761539951834809	0.10564428418788659	-3.356030852475291	2.071395590628739
Testosterone	rs6426192_2	820/969	0.9577480452020556	0.11021785500747504	-32.87225777543348	20.55697884321496
History of psychiatric care on admission (polymorphic)	rs6426192_2	690/969	0.9478335218246561	0.11276296277891272	8.406024241791574	5.293142906757075
